Article Title,Article Description,Published,Suggested,Last Updated
Can I import a half-finished work?,,No,No,"June 17, 2024"
Can I export my document or project?,,No,No,
Can I write NSFW content?,,No,No,
Can I use Sudowrite in other languages?,,Yes,No,"April 17, 2025"
Is there a mobile app?,,Yes,No,"March 20, 2024"
Is there an API?,,No,No,
Where do I submit feedback or feature requests?,,Yes,No,"March 22, 2024"
What accessibility options are available?,,Yes,No,"March 22, 2024"
Does Sudowrite have a status page?,,Yes,No,"April 26, 2024"
Can I hide information from the AI?,,Yes,No,"June 17, 2024"
