Article Title,Article Description,Last Updated,Published,Suggested
Is there a mobile app?,,"March 20, 2024",Yes,No
Can I use Sudowrite in other languages?,,"April 17, 2025",Yes,No
Can I write NSFW content?,,,No,No
Can I export my document or project?,,,No,No
Can I import a half-finished work?,,"June 17, 2024",No,No
Is there an API?,,,No,No
Where do I submit feedback or feature requests?,,"March 22, 2024",Yes,No
What accessibility options are available?,,"March 22, 2024",Yes,No
Does Sudowrite have a status page?,,"April 26, 2024",Yes,No
Can I hide information from the AI?,,"June 17, 2024",Yes,No
