Article Title,Article Description,Published,Suggested,Last Updated
Write,,Yes,Yes,"January 8, 2026"
Rewrite,,Yes,No,"January 8, 2026"
Describe,,Yes,No,"January 8, 2026"
Brainstorm,,Yes,No,"January 8, 2026"
Plugins Menu,,No,No,
First Draft,,Yes,No,"January 8, 2026"
Expand,,Yes,No,"January 8, 2026"
Canvas,,Yes,No,"January 8, 2026"
Visualize,,Yes,No,"January 8, 2026"
Quick Edit,,Yes,Yes,"January 8, 2026"
Selection Menu,,Yes,No,"January 8, 2026"
Prose Modes & Models,,Yes,No,"January 8, 2026"
Series Support,,Yes,No,"January 8, 2026"
Chat,,Yes,No,"January 8, 2026"
My Voice (Beta),,No,No,"August 13, 2025"
